text,predicted_label
terimakasih barang cepat sesuai orde,Positive
layan muas,Positive
barang cepat mkash,Positive
recsell,Positive
keren bagus,Positive
barang sesuai gambar packing rapihlah kirim standar harga jangkau terima kasih,Positive
coba klo bintang,Negative
recomended seller moga awet,Positive
barang oke terima kasih,Positive
barang bagus fungsi dgn,Positive
barang,Positive
barang terima kirim cepat terima kasih,Positive
mantap tackernya,Positive
gooooooooooooooooooood,Positive
seller merespon cepat proses kirim cepat barang dipacking rapi kualitas bnib stapler jenis ukur,Positive
sesuai deskripsi lumayan,Positive
barang jelek copot tmpat taro,Negative
,Positive
barang sampe cepat rapi respon jual,Positive
barang terima kondisi bagus test terimakasih,Positive
produk bagus respon cepat,Positive
terima kasih seller barang teliti mohon tukar resi dgn,Negative
mantap rekomen seller barang bagus,Positive
barang sesuai deskripsi kirim cepat thanks,Positive
delivery cepat packing rapih produk sesuai deskripsi gambar trims,Positive
barang coba lancar jaya thanks seller,Positive
mantaps brng sesuai cepat responnya,Positive
barang sesuai gambar respon jual cepat,Positive
barang terima sesuai spek,Positive
barang sesuai gambar,Positive
barang terima thank,Positive
terimakasih barang,Positive
barang sudaj tks,Positive
respon cepat kirim cepat tes kualitas barang trims,Positive
terimakasihhhhhhh,Positive
barang sdh dterima dgn trima kasih,Positive
barang terima bagus packing rapih makasih layan,Positive
barang bahan kokoh sptnya tes kayu nempel kuat untung dapet bonus trims,Positive
packing rapih barang sesuai pes,Positive
mantap ajib top joss,Positive
kirim packaging bagus sesuai foto deskripsi staple berat dipake,Negative
oke sesuai pesan,Positive
makasih barang sesuai,Positive
barang bagus beli kira2 toko jual,Positive
trims yaaa barangx sdh,Positive
barang sesuai coba makasih tokopedia,Positive
packing bagus barang sesuai skripsi,Positive
mantab fast respon,Positive
barang coba,Positive
baguuuus sesuai deskripsi gambar coba moga,Positive
produk kuat,Positive
beli staples jual pake ckckck,Negative
bagusbanget,Positive
terimakasih barang,Positive
puas pis cepet pis,Positive
barang bagus sesuai deskripsi packing rapi kirim cepat moga sukses tks,Positive
kirim sampe makasih,Positive
barang sesuai pesan,Positive
barang sdh dgn cepat sdh coba hasil sukses boss,Positive
sesuai gambar blm coba moga muas thanks,Negative
barang bagus atom,Negative
cepat responnya good job thanks,Positive
terima dlm trims,Positive
terima kasih thank you danke gracias kittos syukron,Positive
brg sesuai gambar layan oke,Positive
barang sdh,Positive
barang terima,Positive
barang sesuai gambar kemas kirim cepat terima kasih,Positive
barang sesuai deskripsi lambat kirim moga berkah,Negative
sesuai dgn deskripsi foto cocok ajar rekomendasi toko rumah baju belanja komitmen dgn bicara dichat bayar barang proses kirim kirim pos indonesia sesuai kirim pilih puas layan,Positive
good product mantab jaya recomended seller,Positive
produk mantab layan cepat terimakasih,Positive
barang sesuai deskripsi tolong paking kasih lakban biar paku cecer dimana2 kotak robek,Negative
barang sesuai deskripsi bagus moga awet thx,Positive
packing recommended seller barang sesuai pesan,Positive
bagus pesan toko,Positive
mantap bagus,Positive
review packaging produk jual packaging rapi pakai double bubble balut karton tebal produk kualitas harga standar kualitas juara tajam ujung paku tajam mudah paku tembus jual ramah layan puas beli barang ancur parah ekspedisi komplain coba diskusi jual hasil muas jual kirim ulang barang rusak jamin pribadi kalo toko berani saing sisi harga recommended seller,Positive
respon kirim cepat barang oke good seller,Positive
kirim cepat packing rapi barang sesuai dgn deskripsi,Positive
bagus bagus bagusksksnsnjsjjsksmmsms,Positive
respon kirim cepat barang bagus,Positive
selamat barang fungsi normal paket lengkap,Positive
recomended seller respon cepat packing mantap barang pesan buble wrap josss,Positive
produk,Positive
kualitas okey makasih barang sesuai deskripsi,Positive
mantab joos kendala cepat packingnya kemas produk mulus top pkoknya sukses,Positive
barang sesuai deskripsi kirim cepat pake barang bagus mantap dahh pokok thanks,Positive
barang sesuai pesan respon kirim cepat good seller,Positive
barang sesuai posting siip,Positive
fungsi kirim respon cepat,Positive
barang sesuai gambar kirim cepat respon seller,Positive
recommended seller,Positive
barang bagus respond cepat,Positive
barang sesuai order respon kirim cepat,Positive
terima kasih barang nay,Positive
bagusssssssssssss mksh,Positive
air nailer thanks recommended seller,Positive
oke sip dinpake mantap,Positive
makasih juragan,Positive
mantab salam ningrat,Positive
best best best jual bner best,Positive
barang sesuai pesan packing rapi,Positive
mantap barng oke cepat,Negative
mkasih bnyak barang sesuai harga miring kualitas baguss sukses,Positive
alhamdulillah paket sdh respon layan cepat recommended deh mksh bos,Positive
barang sesuai pesan kalok tambahin bonus staples,Negative
produk bagus susah produk sesuai deskripsi pakai mantul moga awet terima kasih,Positive
terima kasih paket terima,Positive
jual steples,Positive
barang bagus respon cepat maaf ulas lambat,Positive
barang terima,Positive
makasih barang smpai,Positive
barang packing rapih terimakasih,Positive
alhamdulillah barang sdh terima dgn pesan cepat sesuai harap proses kirim mantap,Positive
paket terima terima kasih layan,Positive
barang udh nyampe tks sukses house sparepart,Positive
barang bingung krn tdk pakai tulis bahasa china,Negative
ngirim barang periksa kondisi barang layak loh karat,Negative
item packing delivery speed also prima thanks,Positive
trima kasih sdh dtrima dgn,Positive
kirim cepat packing staples karat beli box,Negative
makasih juragannnnnnnnnnnnn,Positive
puaasss barang terima,Positive
terima kasih barang terima,Positive
paket cepat barang sesuai gambar,Positive
makasih agan barang cepet mulus recommended seller deh next order,Positive
barang ssesuai gambar kirim cepat,Positive
jugaaa okeeeh,Negative
barang cepet terima kasih,Positive
karat produk sesuai gambar,Negative
refillnya karat lumayan,Negative
steplessnya sdh sdh karat,Negative
terima kasih barang terima recommended seller,Positive
barang sampe kirim cepat,Positive
barang tafsir pikir 10mm lebar thx,Negative
siiip,Positive
respon cepat barang sesuai thx,Positive
terima kasih barang terima,Positive
terima kasih barang kirim lambat pesan bayar tgl tgl jakarta jakarta efek libur nasional jumat minggu yah,Negative
maaf sempet ksh ulas brg udh terima mksh,Positive
barang sesuai gambar slow respon thx,Negative
sip mantap makasih,Positive
produk sesuai order prohex kirim,Negative
barang oke packing proses kirim cepat trims,Positive
sdh terima thank you,Positive
barang sdh selamat packing rapih,Positive
okeh sip terima kasih,Positive
fast respon harga murah good recomended seller deh,Positive
barang bagus lumayan,Negative
clear described recommended seller aaaa,Positive
produk bagus jual recommended,Positive
okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,Positive
thx pesan udh sampe recommended seller,Positive
terimakasih,Positive
mantul fast respon kaya,Positive
terima kasih barang terima moga mantap order,Positive
cari barang bagus,Positive
barang cocok harap,Positive
terimakasih barang,Positive
beli kualitas lumayan,Negative
barang sesuai deskripsi,Positive
mantap laah harga murmer,Negative
sesuai deskripsi kirim cepat,Positive
trimaksh brang dgn utuh,Positive
lumayan cocok harga,Negative
mantab,Positive
mantap,Positive
barang ane pakai mbenerin kursi,Positive
kirim sesuai pesan,Positive
sampe makasih,Positive
recomended seller thanks,Positive
pesan terima kasih,Positive
barang terima sesuai pesan thx,Positive
biar bintang bicara,Positive
,Positive
fast respont best seller,Positive
barang bagus sesuai pesan thx,Positive
sesuai pesan proses cepat tahan,Positive
brg sdh terima,Positive
good seller sukses,Positive
blom kpake ccocok pluru trnyata,Negative
moga awet,Positive
terimakasih,Positive
terima kasih,Positive
barang sesuai harga fungsi,Positive
pesan sesuai gambar kirim cepat makasih,Positive
thnks barang sesuai foto mudah2han awet nih blm coba karna blm,Negative
barang sdh coba moga pakai awet thank seller,Positive
barang bagus packing rapi,Positive
barang sesuai gambar barang bagus murah murah,Positive
barang sdh ditrima fungsi manteb,Positive
thanks thanks thanks thanks,Positive
sesuau pesan moga awet thx,Positive
barang sesuai pesan mantapp,Positive
bngung staples tembak ukur nomer,Negative
barang barang terima kasih,Positive
sesuai gambar sesuai kualitas harga,Positive
alat bagus jalan normal bahan bagus layan,Positive
siiip barang tengkyu,Positive
mantap,Positive
thanks bgt suka bgt barang sesuai good quality,Positive
brg kualitas brg sesuai harga thanks,Positive
bad response silent seller,Negative
tks,Positive
respon cepat respon cepat thanks,Positive
bagus kirim rekomen,Positive
barang sesuai pesan mantafffffffff,Positive
super ribet cepet stok order proses sampe mantap barang murah murah joss recommended seller,Positive
sesuai pesan,Positive
bagus cepat barang oke,Positive
barang terimakasih next time order,Positive
makasih kirim sampe,Negative
lumayan dekorasi moga awet,Negative
harap informasi staples cocok,Negative
okelahh sesuai dgn deskripsi,Positive
puas thx,Positive
produk sesuai deskripsi foto packing kirim rapicepat mantap sukses terimakasih,Positive
cepet bgt nyampe order 4hari 1hari sampe,Positive
produk sesuai deskripsi kirim cepat,Positive
barang kualitas bagus coba pakai harap,Positive
produk sesuai gambar mantap,Positive
mantap alatny jepret tancap pokokny recommended,Positive
thanks barang sampe,Positive
original sesuai foto bagus mantap,Positive
barang bagus sesuai pesan,Positive
babut bagus belanja barang sesuai gambar otak,Positive
asli rapide respon seller cepat,Positive
produk sesuai deskripsi,Positive
cepet abieasssssss gannnnnn,Positive
cepet recomend,Positive
terima moga awet barang,Positive
recomemded seller,Positive
terima kasih,Positive
kirim cepat packing rapi,Positive
sesuai maaf konfirmasi fast respon,Positive
recomsel,Positive
bagus fungsi,Positive
barang terima sesuai order,Positive
respon cepat packing rapi makasih yaaa,Positive
produk cepet bgt sesuai gambar jual ramah trimakasih sukses,Positive
kirim cepat barang sesuai deskripsi terima kasih,Positive
paket mantab pakai hasil muas recomended nih order,Positive
barang sesuai harap,Positive
alhamdhulillah pesan cepat kualitas barang oke banget muas,Positive
barang selamat packing rapih pake buble kirim cepat top,Positive
barang sesuai deskripsi response seller cepat,Positive
barang cepat pesan sabtu minggu sesuai harap tks,Negative
barang kualitas,Positive
barang baguuuus kirim cepat,Positive
terimakasih,Positive
lumayan harga segitu bagus,Negative
kirim cepat barang sesuai pesan,Positive
good stuff recommended,Positive
barang lom coba bagus mantap,Positive
barang dtg cepat berkualiras jual respon trims,Positive
barang terima dgn sgb fungsi,Negative
barang bagus kokoh,Positive
bagus barang kokoh,Positive
barang sesuai pesan mantab,Positive
brh sdh sampe trims,Positive
kirim cepat kenas,Negative
good response recomended seller barang bagus,Positive
barang sesuai pesan berfungsing thanks,Negative
counter tukang jok kuli bangun tukang cilok tukang sate driver grab supir dll wajib beli mudah,Negative
barang muas,Positive
barang terima kirim sesuai jadwal mantap jempoool,Negative
goood,Positive
trimakasih barang top,Positive
masang jok pake,Positive
staples sdh tks,Negative
produk sesuai foto terima kasih,Positive
good proses cepat,Positive
respon cepat kirim super cepat barang sesuai mantap,Positive
barang bagus respon cepat,Positive
coba kualitas oke sesuai deskripsi terima kasih,Positive
baguuuuuuuuuuussssssssssssssss kreeeeeeeeeeen,Positive
responnya cepet barang coba fungsi,Positive
cepat mantab makasih,Positive
cepat kirim,Positive
mantep barang bagus thanks,Positive
seller oke packing oke barang fungsi jne busuk kardus smp basah hujan kurir kamprett,Positive
respon cepat barang sesuai poto fungsi normal,Positive
barang bagus terima kasih,Positive
cepat barang persis contoh,Positive
barang oke sip recommended seller,Positive
barang sesuai pesan,Positive
thanks recomended,Positive
thanks barang sdh sampe straplesnya udh patah2 rejectn sprtinya moga manfaat moga mkin laris lapak makasih,Positive
barang bagus sesuai gambar sesuai harga trims,Positive
okey makasih barang darat,Positive
bagussssss,Positive
barangx sdh packing barangx bgs bngt mksh,Positive
staples sdh coba fungsi terima kasih seller,Positive
barang fungsi,Positive
respon seller kirim cepet banget packing rapi kualitas barang murah fungsi recommended terima kasih,Positive
paket sesuai pesan gosend bagus cepat terima kasih,Positive
terimakasih barang sampe kirim cepat kemas rapih tks,Positive
oke top markotop proses cepat malam bayar siang,Positive
terima kasih layan barang bagus pasang klem kabel biar cepat brad nail f15 salam sukses,Positive
samapi makasih juragan,Negative
sesuai bagus terima kasih sukses,Positive
barang sesuai kirim ckp cepat mksh,Positive
barang sesuai deskripsi jual responsif kirim cepat akurat terima kasih,Positive
sesuai deskripsi terima kasih,Positive
respon proses order cepat barang sesuai gambar pengunaan fungsi,Positive
brg sdh coba sdh,Negative
trims,Positive
barang oke sesuai fungsi dgn bagus moga awet thx,Positive
lumayannnnnnnnnnnnnnnnnnnnnnnnnn,Positive
sesuai pesan mantappppppppppppplllllllpppp,Positive
terimakasih paket good saller recoment,Positive
bagus barang sesuai deskripsi seller top thank you,Positive
paket terima terima kasih,Positive
thaks,Positive
barang terima respon jual cepat kirim cepat barang bagus,Positive
barang sampe blum mudah2an bagus,Negative
cepet bgt proses pngirimannya,Positive
barang trims,Positive
brg bagus agan krm barang dpt staples gr2 pabrik msh segel staples lngsng komplain lwt tokopedia agan lngsng mnt krm brg krm sesuai ongkir bulak tanggung agan thx bgtt bnr2 recomended seller,Positive
paket selamat barang bagus dapet,Positive
selamat fast response thks,Positive
thank you proses kirim cepat,Positive
makasih responnya cepat kemarin sore pesan siang barang tks,Positive
produk bagus bosque,Positive
kirim cepat produk lumayan,Positive
mantap,Positive
alus uyy geus nepi deui nuhun mudah2an awet,Positive
sipppppp thank,Positive
kirim terima kasih sukses,Positive
respon cepat barang sesuai gambar jam sampe makasih,Positive
barang bagis sesuai skripsi,Negative
mantap sesuai iklan,Positive
ksiiiiiiiiiiiiiiiiiiiiiioiiiiiooooiiiiiiiiiip,Positive
mantap fast respon harga sahabat,Positive
terimakasih barang,Positive
barang bagus kadang staples bagus,Negative
mantap sesuai pesan moga awet,Positive
staples,Negative
fast respon material bagus smoga awet,Positive
terimakasih barang sesuai pesan layan respon cepat,Positive
barangbsudah yujuan cepat parking bagus,Positive
ooooooooooooooookkkkkkkk,Negative
bagus sesuai pesan fungsi,Positive
tooooooooooooooooooop bgt,Negative
terimakasih barang sdh terima sesuai pesan,Positive
packing respon cepat barang sesuai deskripsi recsel,Positive
ltc lindeteves lbh online dpt bebasongkir efisien belanja recommended seller,Negative
terima sesuai deskripsi barang bagus,Positive
udh lbh beli kecewa bli fast respon kirim cepet rapi recomended bgt,Positive
terima kasih barang gannn,Negative
barang bagus cepat recommended,Positive
puas belanja toko,Positive
barang selamat,Positive
barang sesuai respon cepat jempol dehhh,Positive
puas layan toko tokopedia top seller,Positive
respon cepat paket cepat,Positive
barang sdh fast respons,Positive
recomended seller bossss,Positive
barang okey kirim cepat mantapppp makasih yah,Positive
barang terima kasih,Positive
cocok sesuai gambar deskripsi,Positive
barang sesuai pesan mksh,Positive
belanja muas respon cepat recommended seller,Positive
stlh trf lsg kirim wahana pake wahana serang recommended,Positive
packing rapi sellernya ramah produk bagusmakasih,Positive
cpt bgt pake wahana sampe 24jam serang goodd,Positive
produk sesuai etalase gambar kirim cepat respon pokok sukses tingkat layan,Positive
nyoba bagus sukses jual,Positive
cepat,Positive
mantap sesuai pesan mantap thanks,Positive
sesuai pesan,Positive
thxs barang sdh dgn,Negative
mantap,Positive
thanks boss moga manfaat,Positive
joooooooooooooooooooooooosss,Positive
barang thanks for seller,Positive
barang nyampk sore konfirmasi pulang,Positive
oke terimah barang bagus mantaaap,Positive
good quality suwun sukses slalu,Positive
respon cepat toko order mantap,Positive
barang sesuai deskrepsi bagus,Negative
produk sesuai foto uji coba hasil muas,Positive
siiiiiiiiiippppppppppp,Negative
terima sesuai pesan,Positive
produk sesuai deskripsi respon cepat checkout kirim recomended seller moga sukses,Positive
barang selamat,Positive
barang respon seller responsif,Positive
brg sdh packing rapi,Positive
bagus mantab berat,Positive
terima kasih,Positive
barang mantap bro,Positive
respon super cepet jam mnt barang sdh,Positive
barang terima sesuai gambar cepat respon jual chat cepat balas packing rapi,Positive
barang sesuai deskripsi,Positive
kirim lumayan cepat pasang paku beli 8rb atur biar tipa jepret paku,Negative
barang darat makasih,Negative
barang sesuai pesan bagus,Positive
barang telat terima coba moga bagus barang,Negative
kirim kemarin hambat,Negative
packing rapih beranta moga kualitas,Positive
barang sesuai deskripsi,Positive
barang sesuai bagus murah mantapp,Positive
mantap,Positive
susuai pesansan,Positive
sesuai iklan produk kualitas paking kirim cepat,Positive
terima kasih barang sesuai pesan packing rapih,Positive
biar bintang bicara,Positive
tanks bos barang sesuai harap,Positive
cukuppppppppppppppp,Negative
terima barang tks,Positive
trim barang,Positive
oke,Positive
barang sesuai ekspektasi,Positive
barang sesuai pesan respon layan cepat,Positive
topp pesan sesuai,Positive
barang sdh,Positive
yoiyoiyoiyoiyoiyoiyoyiyoi,Positive
terima kasih barang sesuai pesan,Positive
bagusssss barangnyaaaaa rekomended reseller,Negative
barang sesuai deskripsi kondisi thank,Positive
terima kasih barang sesuai pesan packing rapih,Positive
sip,Positive
t1qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,Positive
tqqqqqqq stepless merk krisbow,Positive
paket terima tks,Positive
barang pesan trima kasi,Positive
makasih,Positive
thanx barang terima,Positive
bagus kirim cepat terima kasih,Positive
siiiiiiiiiiiiiiiippp laahh,Positive
kirim cepat barang dikirm mantep,Positive
ssuiiiiippp barang josss,Positive
barangxa oke paking rapih,Positive
sesuai harga,Positive
brg terima thanks,Positive
wokeeee kirim cepat packing siip gojek konco dewe bos hehehehe,Positive
barang sdh sesuai dgn deskripsi terima sdh tdk utuh tdk sdh larena packingnya moga tingkat,Negative
barang sdh thx,Positive
beli mollar pakai,Negative
bagus sesuai dgn deskripsi,Positive
barang bagus sesuai deskripsi,Positive
sesuai order moga cocok staplesnys,Positive
yerima kasih,Positive
barang pungsi mantap pokok,Positive
barang sesuai pesan,Positive
barang sesuai pesan kirim cepat,Positive
terimakasih barang sampe barang sesuai best toko,Positive
biar bintang nilai,Positive
makasih makasih makasih makasih,Positive
good fast respon thx,Positive
terimakasiihh cobak,Negative
,Positive
mantap produk sesuai ekpektasi,Positive
mantaaaap fast fungsi sesuai etalase deskripsi rekomendasi beli,Positive
sip,Positive
barang sesuai pesan selamat,Positive
barang bagus selamat maksh,Positive
respon cepat kirim cepat barang coba bagus,Positive
barang sesuai pesan steples tdk deskripsi,Negative
sesuai dgn deskripsi bagus cepat packaging rapih,Positive
barang bagus sesuai pesan,Positive
stapler tembak bagus fungsi harga mantabs moga awet kirim cepat terima kasih,Positive
barang bagus muas,Positive
barang terima,Positive
barang oke kirim super cepat,Positive
mantul,Positive
barang sdh terima packaging rapi fungsi dgn thx,Positive
barang bagus kirim telat,Positive
terima kasih barang darat,Positive
barang sesuai pict pesan pagi bsk,Positive
gooodddd fungsi,Negative
barang sesuai dgn pesan,Positive
barang oke sesuai iklan order thx,Negative
top recomended seller,Positive
barang sdh okesiip,Positive
barang packing rapih terimakasih,Positive
respon cepat produk kualitas recommended,Positive
mantap respon cepat tks,Positive
puas order lgsg proses cepat kirim,Positive
sesuai gambar deskripsi moga tahan,Positive
barang sesuai ulas mantap,Positive
mantaaappp recomend banget,Positive
respon cpt kirim cepet,Positive
super respon kirim super cepat coba moga produk,Positive
mantapssss,Positive
mantap makasih gannn,Positive
respon mantap barang manfaat,Positive
mantab,Positive
barang sesuai,Positive
terbaiklaaaaaaaaaaaaaaah,Positive
terima kasih barang fungsi,Positive
kirim makasih,Positive
sesuai gambar terima kasih,Positive
kirim cepat barang sesuai deskripsi thanks,Positive
bagus hentakan kenceng,Positive
kirim cepat layan mantap toko top,Positive
barang qulitas bahan tebal cacat recommended,Positive
produk coba jalan moga awet,Positive
produk original kualitas fungsi,Positive
barang sesuai spesifikasi thanks,Positive
barang sesuai pesan,Positive
barang sesuai deskripsi kirim cepat,Positive
barang sesuai pesan blm coba kirim cepat,Positive
sip,Positive
mkasih,Positive
sesuai harap bagus mantap cuy,Positive
fast respond kualitas,Positive
bagus layan cepat,Positive
kwalitas sdh coba mudah pemakainx thanks,Positive
barang terima cepat kondisi barang lengkap thanks,Negative
thanks good job next order,Positive
barang mantap mureeee,Positive
bos klu beli ready,Positive
barang tes,Positive
brg dateng respon cepet kemas rapih coba moga2 awet,Positive
barang pesan kirim cepat blm periksa krn rumah terima kasih,Negative
brng sesuai postingan bagus,Negative
sip barang sesuai dgn deskripsi,Positive
bagusss,Positive
respon cepat recomended seller sukses,Positive
diterimaaaaaaaaaaaaa,Negative
pking barang agk lmbat pngirnnya,Positive
barang oke tes nembaknya kencang mantap,Positive
pesan sgt cepat bom coba barang bagus kokoh harga murah,Positive
barang coba hasil bagus moga awet,Positive
barang sesuai pesan,Positive
kirim cepat packing rapi,Positive
barang sesuai deskripsi tes recommended seller sukses mksh,Positive
barans sesuai pesan,Positive
respon cepat produk sesuai deskripsi packing rapi,Positive
terimakasih kirim cepat barang sesuai,Positive
biar bintang bicara,Positive
mudah2an staples fungsi maksimal trims,Positive
terimakasih barang,Positive
ukur tulis product 14mm fakta 8mm,Negative
mantaapp goodjobs,Positive
staples tembak fungsi barusan staples sofa hasil bagus rapi thank you,Positive
good product buy pls,Positive
barang terima proses kirim cepat kualitas barang murah,Positive
spek sesuwai dgn iklan respon cepat repeat order lancar teruss mantab,Positive
barang bagus coba ekspedisi wahana baek ovel all goodjob,Positive
barang sesuai deskripsi gambar smoga awet,Positive
pesan homaster kenmaster kirim staples kirim cocok staples parrahnya jual kota nyesel beli sinu,Negative
barang sampe fungsi telat sampe tks,Positive
mantap barang bagus sesuai harap,Positive
bagus goooooodddddddd,Positive
maaf ngasih ulas barang sdh terima dipake benda keras nancap oklah,Negative
packing rapi kuat bagus barang sesuai coba hasil bagus recomended sklii top,Positive
thankkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,Negative
barang terima sesuai pesan,Positive
terima kasih kirim barang cepat kondisi bagus lengkap terima kasih cahayabelawa,Positive
layan oke packingnya oke barang oke banget mksh boss,Positive
barang selamat,Positive
mantapppppppppppppppppppp,Positive
sesuai pesan kasih,Positive
steples tembak bagus recomended,Positive
makasih barang sesuai gambar,Positive
barang bagus cepat,Positive
manfaat terimakasih,Positive
sippp,Positive
fungsi sukses,Positive
barang sya trima dgn slamat trims,Positive
cakeepp,Positive
sesuai pesan xxxxxxx,Positive
barang mantapp,Positive
baranh terima sukses lapak,Positive
kirim cepat produk terima kasih,Positive
barang terima terima kasih,Positive
sesuai pesan layan muas,Positive
suuuuuuiiiiiiiiiiiiiippppppppppp,Positive
barang fast respond trus barang sesuai deskripsi pokok mantap,Positive
mantab recomended,Positive
barang sesuai deksripsi foto,Positive
barang bagus kuat sesuai harap,Positive
barang bagus sesuai deskripsi kirim cepat packing rapih mantapp dehhh bintang agan,Positive
makasih barang,Positive
bagus sesuai harap,Positive
kualitas mantap harga murah kirim cepat terimakasih,Positive
brg sampe sesuai pesan bonus mksh,Positive
barang respon seller cepat coba berfungai terima kasih sukses jual,Positive
barang terima,Positive
makasih brg sampe,Positive
barang sesuai dgn pesan recommended thx tokopedia cahaya sukses,Positive
tembak mantap cek jual ulang staples biar sesuai tembak agan kirim ulang sesuai tembak staples,Positive
barang response cepat,Positive
barang sesuai iklan respons jual cepat bravo,Positive
terima sip sesuai deskripsi,Positive
terimakasih barang sdh terima,Positive
